,Unnamed: 0,มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา,ค่าใช้จ่ายที่ปรับแล้ว,img,latitude,longitude
45,46,มหาวิทยาลัยศรีปทุม,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Sc. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,,คณะเทคโนโลยีสารสนเทศ (กทม.),วิศวกรรมคอมพิวเตอร์,46700,https://assets.mytcas.com/i/logo/054.png,13.855133709902127,100.584709147991
46,47,มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),B.Eng. (Computer Engineering and Artificial Intelligence),ภาษาไทย ปกติ,วิทยาเขตหลัก,42500,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,42500,https://assets.mytcas.com/i/logo/056.png,13.779523828832348,100.56031202587339
47,48,มหาวิทยาลัยเทคโนโลยีมหานคร,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,_,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,43572,https://assets.mytcas.com/i/logo/061.png,13.84414671832833,100.85568527230862
48,49,มหาวิทยาลัยรังสิต,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าเล่าเรียนตลอดหลักสูตร 396,800",วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,49600,https://assets.mytcas.com/i/logo/068.png,13.964797345878257,100.58854283617606
49,50,มหาวิทยาลัยธุรกิจบัณฑิตย์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,ค่าเล่าเรียนตลอดหลักสูตร 337000 บาท,วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,42125,https://assets.mytcas.com/i/logo/103.png,13.86867202532769,100.55169792951999
50,51,มหาวิทยาลัยเกษมบัณฑิต,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตร่มเกล้า,35250,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,35250,https://assets.mytcas.com/i/logo/180.png,13.804491598287358,100.73977527210337
51,52,มหาวิทยาลัยสยาม,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 303,500 บาท",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,37938,https://assets.mytcas.com/i/logo/180.png,13.722071833602712,100.45310722530611
52,53,สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,แจ้งวัฒนะ นนทบุรี,48000,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปัญญาประดิษฐ์,48000,https://assets.mytcas.com/i/logo/918.png,13.90126808769328,100.53085276764644
53,55,มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Bachelor of Engineering Programe in Artificial Intelligence and System Engineering,ภาษาไทย ปกติ,ภูเก็ต,38000,วิทยาลัยการคอมพิวเตอร์,วิศวกรรมปัญญาประดิษฐ์,38000,https://assets.mytcas.com/i/logo/010.png,7.895287413574875,98.35288207995713
54,56,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบอัจฉริยะ ปริญญาตรี 4 ปี (พื้นที่การศึกษาราชบุรี),Bachelor of Engineering Program in Intelligence Systems Engineering 4-year undergraduate program (Rajaburi educational region),ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,วิทยาลัยสหวิทยาการ,วิศวกรรมปัญญาประดิษฐ์,25000,https://assets.mytcas.com/i/logo/014.png,13.654207573626316,100.49641841242894
55,57,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),B.Eng. Ai Engineering and Entrepreneurship (International Program) Joint Degree between KMITL and Bangkok University,Joint Degree - นานาชาติ,ลาดกระบัง,175000,คณะวิศวกรรมศาสตร์,วิศวกรรมปัญญาประดิษฐ์,175000,https://assets.mytcas.com/i/logo/016.png,13.73110678827743,100.78072236900937
56,58,มหาวิทยาลัยอุบลราชธานี,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,Bachelor of Engineering Program in Artificial Intelligence and Prompt Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,28000,คณะวิศวกรรมศาสตร์,วิศวกรรมปัญญาประดิษฐ์,28000,https://assets.mytcas.com/i/logo/018.png,15.117272756289433,104.90270365740686
57,61,จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,25500,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25500,https://assets.mytcas.com/i/logo/001.png,13.739350437122146,100.52862882437717
